fault,count,percent,registros,rpm_distintos,rpm_min,rpm_max,rpm_values,primeira_ocorrencia,ultima_ocorrencia,duracao_horas
rolamento_combination_4,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 15:51:58.659649+00:00,2026-06-05 15:57:42.276015+00:00,0.09544899055555556
rolamento_outer_4,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 16:01:45.331619+00:00,2026-06-05 16:07:42.256322+00:00,0.09914575083333334
rolamento_inner_3,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 16:13:02.940182+00:00,2026-06-05 16:18:58.042517+00:00,0.0986395375
rolamento_inner_4,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 16:19:30.819744+00:00,2026-06-05 16:25:18.362345+00:00,0.09653961138888889
rolamento_ball_3,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 16:29:28.150347+00:00,2026-06-05 16:36:22.731943+00:00,0.11516155444444444
rolamento_ball_4,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 16:36:44.901015+00:00,2026-06-05 16:42:43.153343+00:00,0.09951453555555555
eccentric_rotor_3,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 16:49:20.406066+00:00,2026-06-05 16:55:11.084457+00:00,0.09741066416666666
eccentric_rotor_4,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 16:55:31.365521+00:00,2026-06-05 17:01:11.508250+00:00,0.09448409138888889
eccentric_rotor_pos_2,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 17:09:02.118719+00:00,2026-06-05 17:16:11.645635+00:00,0.11931303222222223
cocked_rotor_pos_2,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 17:25:39.456251+00:00,2026-06-05 17:31:50.204646+00:00,0.10298566527777778
normal_pos_2,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 17:36:17.747614+00:00,2026-06-05 17:42:53.866682+00:00,0.11003307444444445
